DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
3,RIC,ricciardo,renault,10.0,Turkish Grand Prix,14,2020
31,OCO,ocon,renault,11.0,Turkish Grand Prix,14,2020
26,KVY,kvyat,alphatauri,12.0,Turkish Grand Prix,14,2020
10,GAS,gasly,alphatauri,13.0,Turkish Grand Prix,14,2020
77,BOT,bottas,mercedes,14.0,Turkish Grand Prix,14,2020
7,RAI,raikkonen,alfa,15.0,Turkish Grand Prix,14,2020
63,RUS,russell,williams,16.0,Turkish Grand Prix,14,2020
20,MAG,kevin_magnussen,haas,17.0,Turkish Grand Prix,14,2020
8,GRO,grosjean,haas,18.0,Turkish Grand Prix,14,2020
6,LAT,latifi,williams,19.0,Turkish Grand Prix,14,2020
99,GIO,giovinazzi,alfa,20.0,Turkish Grand Prix,14,2020
44,HAM,hamilton,mercedes,1.0,Bahrain Grand Prix,15,2020
33,VER,max_verstappen,red_bull,2.0,Bahrain Grand Prix,15,2020
23,ALB,albon,red_bull,3.0,Bahrain Grand Prix,15,2020
4,NOR,norris,mclaren,4.0,Bahrain Grand Prix,15,2020
55,SAI,sainz,mclaren,5.0,Bahrain Grand Prix,15,2020
10,GAS,gasly,alphatauri,6.0,Bahrain Grand Prix,15,2020
3,RIC,ricciardo,renault,7.0,Bahrain Grand Prix,15,2020
77,BOT,bottas,mercedes,8.0,Bahrain Grand Prix,15,2020
31,OCO,ocon,renault,9.0,Bahrain Grand Prix,15,2020
16,LEC,leclerc,ferrari,10.0,Bahrain Grand Prix,15,2020
26,KVY,kvyat,alphatauri,11.0,Bahrain Grand Prix,15,2020
63,RUS,russell,williams,12.0,Bahrain Grand Prix,15,2020
5,VET,vettel,ferrari,13.0,Bahrain Grand Prix,15,2020
6,LAT,latifi,williams,14.0,Bahrain Grand Prix,15,2020
7,RAI,raikkonen,alfa,15.0,Bahrain Grand Prix,15,2020
99,GIO,giovinazzi,alfa,16.0,Bahrain Grand Prix,15,2020
20,MAG,kevin_magnussen,haas,17.0,Bahrain Grand Prix,15,2020
11,PER,perez,racing_point,18.0,Bahrain Grand Prix,15,2020
18,STR,stroll,racing_point,19.0,Bahrain Grand Prix,15,2020
8,GRO,grosjean,haas,20.0,Bahrain Grand Prix,15,2020
11,PER,perez,racing_point,1.0,Sakhir Grand Prix,16,2020
31,OCO,ocon,renault,2.0,Sakhir Grand Prix,16,2020
18,STR,stroll,racing_point,3.0,Sakhir Grand Prix,16,2020
55,SAI,sainz,mclaren,4.0,Sakhir Grand Prix,16,2020
3,RIC,ricciardo,renault,5.0,Sakhir Grand Prix,16,2020
23,ALB,albon,red_bull,6.0,Sakhir Grand Prix,16,2020
26,KVY,kvyat,alphatauri,7.0,Sakhir Grand Prix,16,2020
77,BOT,bottas,mercedes,8.0,Sakhir Grand Prix,16,2020
63,RUS,russell,mercedes,9.0,Sakhir Grand Prix,16,2020
4,NOR,norris,mclaren,10.0,Sakhir Grand Prix,16,2020
10,GAS,gasly,alphatauri,11.0,Sakhir Grand Prix,16,2020
5,VET,vettel,ferrari,12.0,Sakhir Grand Prix,16,2020
99,GIO,giovinazzi,alfa,13.0,Sakhir Grand Prix,16,2020
7,RAI,raikkonen,alfa,14.0,Sakhir Grand Prix,16,2020
20,MAG,kevin_magnussen,haas,15.0,Sakhir Grand Prix,16,2020
89,AIT,aitken,williams,16.0,Sakhir Grand Prix,16,2020
51,FIT,pietro_fittipaldi,haas,17.0,Sakhir Grand Prix,16,2020
6,LAT,latifi,williams,18.0,Sakhir Grand Prix,16,2020
33,VER,max_verstappen,red_bull,19.0,Sakhir Grand Prix,16,2020
16,LEC,leclerc,ferrari,20.0,Sakhir Grand Prix,16,2020
33,VER,max_verstappen,red_bull,1.0,Abu Dhabi Grand Prix,17,2020
77,BOT,bottas,mercedes,2.0,Abu Dhabi Grand Prix,17,2020
44,HAM,hamilton,mercedes,3.0,Abu Dhabi Grand Prix,17,2020
23,ALB,albon,red_bull,4.0,Abu Dhabi Grand Prix,17,2020
4,NOR,norris,mclaren,5.0,Abu Dhabi Grand Prix,17,2020
55,SAI,sainz,mclaren,6.0,Abu Dhabi Grand Prix,17,2020
3,RIC,ricciardo,renault,7.0,Abu Dhabi Grand Prix,17,2020
10,GAS,gasly,alphatauri,8.0,Abu Dhabi Grand Prix,17,2020
31,OCO,ocon,renault,9.0,Abu Dhabi Grand Prix,17,2020
18,STR,stroll,racing_point,10.0,Abu Dhabi Grand Prix,17,2020
26,KVY,kvyat,alphatauri,11.0,Abu Dhabi Grand Prix,17,2020
7,RAI,raikkonen,alfa,12.0,Abu Dhabi Grand Prix,17,2020
16,LEC,leclerc,ferrari,13.0,Abu Dhabi Grand Prix,17,2020
5,VET,vettel,ferrari,14.0,Abu Dhabi Grand Prix,17,2020
63,RUS,russell,williams,15.0,Abu Dhabi Grand Prix,17,2020
99,GIO,giovinazzi,alfa,16.0,Abu Dhabi Grand Prix,17,2020
6,LAT,latifi,williams,17.0,Abu Dhabi Grand Prix,17,2020
20,MAG,kevin_magnussen,haas,18.0,Abu Dhabi Grand Prix,17,2020
51,FIT,pietro_fittipaldi,haas,19.0,Abu Dhabi Grand Prix,17,2020
11,PER,perez,racing_point,20.0,Abu Dhabi Grand Prix,17,2020
