DriverNumber,Abbreviation,DriverId,TeamId,Position,EventName,Round,Season
27,HUL,hulkenberg,renault,8.0,Belgian Grand Prix,13,2019
10,GAS,gasly,toro_rosso,9.0,Belgian Grand Prix,13,2019
18,STR,stroll,racing_point,10.0,Belgian Grand Prix,13,2019
4,NOR,norris,mclaren,11.0,Belgian Grand Prix,13,2019
20,MAG,kevin_magnussen,haas,12.0,Belgian Grand Prix,13,2019
8,GRO,grosjean,haas,13.0,Belgian Grand Prix,13,2019
3,RIC,ricciardo,renault,14.0,Belgian Grand Prix,13,2019
63,RUS,russell,williams,15.0,Belgian Grand Prix,13,2019
7,RAI,raikkonen,alfa,16.0,Belgian Grand Prix,13,2019
88,KUB,kubica,williams,17.0,Belgian Grand Prix,13,2019
99,GIO,giovinazzi,alfa,18.0,Belgian Grand Prix,13,2019
55,SAI,sainz,mclaren,19.0,Belgian Grand Prix,13,2019
33,VER,max_verstappen,red_bull,20.0,Belgian Grand Prix,13,2019
16,LEC,leclerc,ferrari,1.0,Italian Grand Prix,14,2019
77,BOT,bottas,mercedes,2.0,Italian Grand Prix,14,2019
44,HAM,hamilton,mercedes,3.0,Italian Grand Prix,14,2019
3,RIC,ricciardo,renault,4.0,Italian Grand Prix,14,2019
27,HUL,hulkenberg,renault,5.0,Italian Grand Prix,14,2019
23,ALB,albon,red_bull,6.0,Italian Grand Prix,14,2019
11,PER,perez,racing_point,7.0,Italian Grand Prix,14,2019
33,VER,max_verstappen,red_bull,8.0,Italian Grand Prix,14,2019
99,GIO,giovinazzi,alfa,9.0,Italian Grand Prix,14,2019
4,NOR,norris,mclaren,10.0,Italian Grand Prix,14,2019
10,GAS,gasly,toro_rosso,11.0,Italian Grand Prix,14,2019
18,STR,stroll,racing_point,12.0,Italian Grand Prix,14,2019
5,VET,vettel,ferrari,13.0,Italian Grand Prix,14,2019
63,RUS,russell,williams,14.0,Italian Grand Prix,14,2019
7,RAI,raikkonen,alfa,15.0,Italian Grand Prix,14,2019
8,GRO,grosjean,haas,16.0,Italian Grand Prix,14,2019
88,KUB,kubica,williams,17.0,Italian Grand Prix,14,2019
20,MAG,kevin_magnussen,haas,18.0,Italian Grand Prix,14,2019
26,KVY,kvyat,toro_rosso,19.0,Italian Grand Prix,14,2019
55,SAI,sainz,mclaren,20.0,Italian Grand Prix,14,2019
5,VET,vettel,ferrari,1.0,Singapore Grand Prix,15,2019
16,LEC,leclerc,ferrari,2.0,Singapore Grand Prix,15,2019
33,VER,max_verstappen,red_bull,3.0,Singapore Grand Prix,15,2019
44,HAM,hamilton,mercedes,4.0,Singapore Grand Prix,15,2019
77,BOT,bottas,mercedes,5.0,Singapore Grand Prix,15,2019
23,ALB,albon,red_bull,6.0,Singapore Grand Prix,15,2019
4,NOR,norris,mclaren,7.0,Singapore Grand Prix,15,2019
10,GAS,gasly,toro_rosso,8.0,Singapore Grand Prix,15,2019
27,HUL,hulkenberg,renault,9.0,Singapore Grand Prix,15,2019
99,GIO,giovinazzi,alfa,10.0,Singapore Grand Prix,15,2019
8,GRO,grosjean,haas,11.0,Singapore Grand Prix,15,2019
55,SAI,sainz,mclaren,12.0,Singapore Grand Prix,15,2019
18,STR,stroll,racing_point,13.0,Singapore Grand Prix,15,2019
3,RIC,ricciardo,renault,14.0,Singapore Grand Prix,15,2019
26,KVY,kvyat,toro_rosso,15.0,Singapore Grand Prix,15,2019
88,KUB,kubica,williams,16.0,Singapore Grand Prix,15,2019
20,MAG,kevin_magnussen,haas,17.0,Singapore Grand Prix,15,2019
7,RAI,raikkonen,alfa,18.0,Singapore Grand Prix,15,2019
11,PER,perez,racing_point,19.0,Singapore Grand Prix,15,2019
63,RUS,russell,williams,20.0,Singapore Grand Prix,15,2019
44,HAM,hamilton,mercedes,1.0,Russian Grand Prix,16,2019
77,BOT,bottas,mercedes,2.0,Russian Grand Prix,16,2019
16,LEC,leclerc,ferrari,3.0,Russian Grand Prix,16,2019
33,VER,max_verstappen,red_bull,4.0,Russian Grand Prix,16,2019
23,ALB,albon,red_bull,5.0,Russian Grand Prix,16,2019
55,SAI,sainz,mclaren,6.0,Russian Grand Prix,16,2019
11,PER,perez,racing_point,7.0,Russian Grand Prix,16,2019
4,NOR,norris,mclaren,8.0,Russian Grand Prix,16,2019
20,MAG,kevin_magnussen,haas,9.0,Russian Grand Prix,16,2019
27,HUL,hulkenberg,renault,10.0,Russian Grand Prix,16,2019
18,STR,stroll,racing_point,11.0,Russian Grand Prix,16,2019
26,KVY,kvyat,toro_rosso,12.0,Russian Grand Prix,16,2019
7,RAI,raikkonen,alfa,13.0,Russian Grand Prix,16,2019
10,GAS,gasly,toro_rosso,14.0,Russian Grand Prix,16,2019
99,GIO,giovinazzi,alfa,15.0,Russian Grand Prix,16,2019
88,KUB,kubica,williams,16.0,Russian Grand Prix,16,2019
63,RUS,russell,williams,17.0,Russian Grand Prix,16,2019
5,VET,vettel,ferrari,18.0,Russian Grand Prix,16,2019
3,RIC,ricciardo,renault,19.0,Russian Grand Prix,16,2019
8,GRO,grosjean,haas,20.0,Russian Grand Prix,16,2019
77,BOT,bottas,mercedes,1.0,Japanese Grand Prix,17,2019
5,VET,vettel,ferrari,2.0,Japanese Grand Prix,17,2019
44,HAM,hamilton,mercedes,3.0,Japanese Grand Prix,17,2019
23,ALB,albon,red_bull,4.0,Japanese Grand Prix,17,2019
55,SAI,sainz,mclaren,5.0,Japanese Grand Prix,17,2019
16,LEC,leclerc,ferrari,6.0,Japanese Grand Prix,17,2019
10,GAS,gasly,toro_rosso,7.0,Japanese Grand Prix,17,2019
11,PER,perez,racing_point,8.0,Japanese Grand Prix,17,2019
18,STR,stroll,racing_point,9.0,Japanese Grand Prix,17,2019
26,KVY,kvyat,toro_rosso,10.0,Japanese Grand Prix,17,2019
4,NOR,norris,mclaren,11.0,Japanese Grand Prix,17,2019
7,RAI,raikkonen,alfa,12.0,Japanese Grand Prix,17,2019
8,GRO,grosjean,haas,13.0,Japanese Grand Prix,17,2019
99,GIO,giovinazzi,alfa,14.0,Japanese Grand Prix,17,2019
20,MAG,kevin_magnussen,haas,15.0,Japanese Grand Prix,17,2019
63,RUS,russell,williams,16.0,Japanese Grand Prix,17,2019
88,KUB,kubica,williams,17.0,Japanese Grand Prix,17,2019
33,VER,max_verstappen,red_bull,18.0,Japanese Grand Prix,17,2019
3,RIC,ricciardo,renault,19.0,Japanese Grand Prix,17,2019
27,HUL,hulkenberg,renault,20.0,Japanese Grand Prix,17,2019
44,HAM,hamilton,mercedes,1.0,Mexican Grand Prix,18,2019
5,VET,vettel,ferrari,2.0,Mexican Grand Prix,18,2019
77,BOT,bottas,mercedes,3.0,Mexican Grand Prix,18,2019
16,LEC,leclerc,ferrari,4.0,Mexican Grand Prix,18,2019
23,ALB,albon,red_bull,5.0,Mexican Grand Prix,18,2019
33,VER,max_verstappen,red_bull,6.0,Mexican Grand Prix,18,2019
11,PER,perez,racing_point,7.0,Mexican Grand Prix,18,2019
3,RIC,ricciardo,renault,8.0,Mexican Grand Prix,18,2019
10,GAS,gasly,toro_rosso,9.0,Mexican Grand Prix,18,2019
27,HUL,hulkenberg,renault,10.0,Mexican Grand Prix,18,2019
26,KVY,kvyat,toro_rosso,11.0,Mexican Grand Prix,18,2019
